Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C100n","C_0603_1608Metric",160.750000,-100.525000,-90.000000,top
"C2","C100n","C_0603_1608Metric",141.525000,-106.750000,180.000000,top
"CL_1","~","MY-ZJ-117",159.612500,-100.500000,-90.000000,top
"CL_2","~","MY-ZJ-118",173.500000,-109.000000,0.000000,top
"HT1","~","LQFP-48_7x7mm_P0.5mm",140.800000,-100.300000,90.000000,top
"J2","Conn_01x06","PinSocket_1x06_P2.54mm_Vertical",154.460000,-107.700000,90.000000,top
"R1","R10k","R_0603_1608Metric",156.175000,-91.500000,180.000000,top
"R2","R20k","R_0603_1608Metric",150.400000,-92.875000,90.000000,top
"R3","R30k","R_0603_1608Metric",150.400000,-96.075000,-90.000000,top
"R4","R40k","R_0603_1608Metric",150.425000,-99.250000,-90.000000,top
"R5","R4.7k","R_0603_1608Metric",136.250000,-105.675000,90.000000,top
"R6","R10k","R_0603_1608Metric",156.175000,-93.250000,180.000000,top
"R7","R4.7k","R_0603_1608Metric",132.500000,-105.675000,90.000000,top
"U1","ATtiny85-20M","SOIC-8_3.9x4.9mm_P1.27mm",156.200000,-99.100000,90.000000,top
