"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"LCD PADS";1;"LCD PADS";;;
2;"C4,C7";"C_0402_1005Metric";2;"100nF";;;
3;"CL_1";"MY-ZJ-117";1;"~";;;
4;"CL_2";"MY-ZJ-118";1;"~";;;
5;"U1";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TPS61099DRVR";;;
6;"R3";"R_0402_1005Metric";1;"47k";;;
7;"C1,C2,C3";"C_0805_2012Metric";3;"10uF";;;
8;"SW2";"Button_trace_caliper_board";1;"HOUR";;;
9;"R2";"R_0402_1005Metric";1;"1.0M";;;
10;"L1";"L_0805_2012Metric";1;"2.2uH";;;
11;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
12;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"SBW";;;
13;"C5";"C_0402_1005Metric";1;"1nF";;;
14;"SW1";"Button_trace_caliper_board";1;"MODE";;;
15;"SW3";"Button_trace_caliper_board";1;"MIN";;;
16;"CX1,CX2";"C_0402_1005Metric";2;"12pF";;;
17;"R1";"R_0402_1005Metric";1;"2.0M";;;
18;"U2";"PM0064A_N";1;"MSP430FR4133IPM";;;
