Comment,Designator,Footprint,LCSC Part #
"10uF","C1,C2,C3","C_0805_2012Metric","C15850"
"100nF","C4,C7","C_0402_1005Metric","C1525"
"1nF","C5","C_0402_1005Metric","C1523"
"12pF","CX1,CX2","C_0402_1005Metric","C1547"
"2.0M","R1","R_0402_1005Metric","C11512"
"1.0M","R2","R_0402_1005Metric","C26083"
"47k","R3","R_0402_1005Metric","C25792"
"2.2uH","L1","L_0805_2012Metric","C41651"
"32.768kHz","Y1","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"TPS61099DRVR","U1","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","C2842395"
"MSP430FR4133IPM","U2","PM0064A_N","C106759"
"MY-ZJ-117","CL_1","MY-ZJ-117","C964865"
"MY-FJ-118","CL_2","MY-FJ-118","C964866"
