Designator,Mid X,Mid Y,Layer,Rotation
C1,137.387500,-80.500000,Top,0
C2,131.387500,-81.750000,Top,90
C3,128.775000,-86.750000,Top,0
C4,128.255000,-88.500000,Top,180
C5,100.000000,-91.000000,Top,0
C7,127.275000,-91.250000,Top,90
CL_1,137.425000,-88.000000,Top,90
CL_2,146.000000,-96.387500,Top,0
CX1,131.775000,-90.480000,Top,90
CX2,131.775000,-93.500000,Top,270
L1,137.387500,-82.750000,Top,180
R1,132.887500,-84.250000,Top,90
R2,133.887500,-84.250000,Top,90
R3,99.990000,-89.500000,Top,180
U1,134.000000,-81.600000,Top,0
U2,120.000000,-89.000000,Top,180
Y1,129.775000,-92.000000,Top,90
